stock_id,date,Advt_12M_Usd,Advt_3M_Usd,Advt_6M_Usd,Asset_Turnover,Bb_Yld,Bv,Capex_Ps_Cf,Capex_Sales,Cash_Div_Cf,Cash_Per_Share,Cf_Sales,Debtequity,Div_Yld,Dps,Ebit_Bv,Ebit_Noa,Ebit_Oa,Ebit_Ta,Ebitda_Margin,Eps,Eps_Basic,Eps_Basic_Gr,Eps_Contin_Oper,Eps_Dil,Ev,Ev_Ebitda,Fa_Ci,Fcf,Fcf_Bv,Fcf_Ce,Fcf_Margin,Fcf_Noa,Fcf_Oa,Fcf_Ta,Fcf_Tbv,Fcf_Toa,Fcf_Yld,Free_Ps_Cf,Int_Rev,Interest_Expense,Mkt_Cap_12M_Usd,Mkt_Cap_3M_Usd,Mkt_Cap_6M_Usd,Mom_11M_Usd,Mom_5M_Usd,Mom_Sharp_11M_Usd,Mom_Sharp_5M_Usd,Nd_Ebitda,Net_Debt,Net_Debt_Cf,Net_Margin,Netdebtyield,Ni,Ni_Avail_Margin,Ni_Oa,Ni_Toa,Noa,Oa,Ocf,Ocf_Bv,Ocf_Ce,Ocf_Margin,Ocf_Noa,Ocf_Oa,Ocf_Ta,Ocf_Tbv,Ocf_Toa,Op_Margin,Op_Prt_Margin,Oper_Ps_Net_Cf,Pb,Pe,Ptx_Mgn,Recurring_Earning_Total_Assets,Return_On_Capital,Rev,Roa,Roc,Roce,Roe,Sales_Ps,Share_Turn_12M,Share_Turn_3M,Share_Turn_6M,Ta,Tev_Less_Mktcap,Tot_Debt_Rev,Total_Capital,Total_Debt,Total_Debt_Capital,Total_Liabilities_Total_Assets,Vol1Y_Usd,Vol3Y_Usd,R1M_Usd,R3M_Usd,R6M_Usd,R12M_Usd
600,1/31/2018,0.23,0.21,0.24,0.91,0.55,0.27,0.6,0.3,0.26,0.75,0.13,0.28,0.4,0.32,0.48,0.56,0.46,0.49,0.12,0.39,0.38,0.21,0.39,0.38,0.15,0.25,0.55,0.46,0.77,0.66,0.34,0.78,0.73,0.77,0.78,0.56,0.9,0.75,0.3,0.31,0.18,0.2,0.19,0.42,0.84,0.37,0.66,0.31,0.32,0.61,0.21,0.74,0.3,0.2,0.5,0.42,0.24,0.26,0.38,0.74,0.66,0.21,0.78,0.7,0.75,0.77,0.52,0.2,0.19,0.59,0.32,0.32,0.22,0.63,0.75,0.55,0.53,0.75,0.55,0.43,0.83,0.58,0.52,0.61,0.24,0.33,0.15,0.19,0.2,0.28,0.47,0.84,0.72,-0.104,0.085,0.135,0.016
703,1/31/2018,0.29,0.39,0.34,0.69,0.11,0.27,0.44,0.26,0.17,0.19,0.02,0.35,0.09,0.15,0.08,0.06,0.05,0.05,0.04,0.05,0.05,0.91,0.05,0.05,0.18,0.99,0.63,0.13,0.15,0.11,0.13,0.13,0.12,0.13,0.31,0.11,0.13,0.19,0.49,0.47,0.16,0.21,0.19,1,1,0.52,0.53,0.96,0.35,0.31,0.09,0.23,0.08,0.08,0.07,0.07,0.25,0.27,0.07,0.09,0.05,0.06,0.08,0.12,0.12,0.37,0.14,0.06,0.91,0.09,0.37,0.5,0.08,0.41,0.06,0.38,0.07,0.06,0.02,0.07,0.69,0.82,0.86,0.85,0.24,0.36,0.27,0.2,0.24,0.35,0.49,1,1,-0.318,-0.4,-0.339,-0.62
780,1/31/2018,0.11,0.09,0.09,0.89,0.13,0.27,0.46,0.31,0.08,0.49,0.16,0.44,0.19,0.06,0.55,0.54,0.61,0.65,0.18,0.41,0.41,0.89,0.41,0.41,0.27,0.55,0.51,0.32,0.45,0.38,0.25,0.44,0.52,0.54,0.68,0.46,0.94,0.49,0.36,0.4,0.05,0.05,0.06,0.55,0.71,0.46,0.56,0.59,0.39,0.44,0.3,0.41,0.36,0.29,0.66,0.55,0.29,0.21,0.25,0.46,0.39,0.16,0.46,0.54,0.58,0.7,0.44,0.3,0.87,0.29,0.62,0.58,0.33,0.46,0.73,0.47,0.69,0.73,0.48,0.61,0.67,0.63,0.51,0.5,0.18,0.71,0.27,0.23,0.28,0.44,0.32,0.77,0.83,-0.058,-0.051,0.102,0.001
802,1/31/2018,0.75,0.85,0.81,0.38,0.56,0.27,0.35,0.8,0.22,0.57,0.92,0.05,0.25,0.25,0.46,0.81,0.83,0.76,0.79,0.53,0.52,0.95,0.53,0.52,0.5,0.98,0.21,0.35,0.55,0.61,0.89,0.92,0.94,0.86,0.6,0.85,0.17,0.57,0.65,0.02,0.57,0.63,0.62,1,0.97,0.92,0.73,0.05,0.08,0.5,0.97,0.49,0.4,0.98,0.97,0.89,0.08,0.06,0.24,0.46,0.59,0.9,0.93,0.96,0.87,0.55,0.87,0.97,0.85,0.32,0.93,0.92,0.97,0.35,0.86,0.07,0.93,0.86,0.52,0.72,0.11,0.93,0.95,0.94,0.1,0.09,0.02,0.13,0.04,0.02,0.02,0.94,0.92,-0.238,-0.464,-0.395,-0.347
818,1/31/2018,0.31,0.27,0.3,0.68,0.64,0.27,0.63,0.61,0.3,0.58,0.29,0.97,0.46,0.36,0.79,0.34,0.37,0.39,0.29,0.37,0.36,0.43,0.37,0.37,0.53,0.55,0.91,0.58,0.91,0.38,0.38,0.42,0.48,0.5,0.17,0.44,0.79,0.58,0.56,0.66,0.42,0.4,0.41,0.02,0.17,0.03,0.07,0.92,0.76,0.93,0.29,0.99,0.5,0.29,0.43,0.41,0.6,0.53,0.57,0.95,0.4,0.34,0.44,0.49,0.52,0.14,0.43,0.36,0.3,0.48,0.81,0.46,0.3,0.61,0.54,0.64,0.48,0.54,0.9,0.81,0.62,0.25,0.18,0.23,0.51,0.78,0.67,0.56,0.71,0.94,0.87,0.93,0.72,-0.036,-0.035,-0.073,-0.062
895,1/31/2018,0.45,0.41,0.4,0.95,0.87,0.27,0.22,0.23,0.5,0.37,0.25,0.13,0.88,0.35,0.56,0.73,0.71,0.72,0.21,0.24,0.23,0.99,0.24,0.24,0.11,0.19,0.71,0.45,0.77,0.7,0.36,0.87,0.87,0.89,0.68,0.68,0.9,0.37,0.18,0.1,0.2,0.16,0.16,0.06,0.29,0.07,0.29,0.15,0.14,0.37,0.3,0.3,0.39,0.29,0.83,0.64,0.14,0.15,0.36,0.72,0.7,0.23,0.89,0.88,0.89,0.66,0.68,0.25,0.99,0.18,0.32,0.07,0.32,0.8,0.86,0.51,0.81,0.86,0.74,0.66,0.41,0.95,0.94,0.94,0.15,0.22,0.1,0.14,0.12,0.13,0.19,0.91,0.79,0.05,0.061,-0.067,0
1026,1/31/2018,0.31,0.41,0.36,0.47,0.51,0.27,0.73,0.78,0.27,0.57,0.58,0.84,0.32,0.4,0.66,0.43,0.47,0.49,0.56,0.64,0.63,0.84,0.64,0.63,0.42,0.63,0.77,0.39,0.64,0.32,0.47,0.39,0.46,0.47,0.22,0.54,0.27,0.57,0.78,0.49,0.4,0.43,0.42,0.95,0.85,0.99,0.98,0.78,0.57,0.77,0.61,0.83,0.47,0.99,0.63,0.66,0.4,0.35,0.39,0.77,0.39,0.52,0.49,0.53,0.57,0.18,0.64,0.6,0.83,0.56,0.8,0.6,0.68,0.54,0.58,0.35,0.66,0.58,0.79,0.77,0.55,0.28,0.52,0.42,0.33,0.41,0.69,0.37,0.49,0.83,0.7,0.2,0.26,-0.006,0.062,0.104,-0.643
1159,1/31/2018,0.3,0.28,0.29,0.83,0.37,0.27,0.99,0.78,0.6,0.53,0.47,0.64,0.59,1,0.79,0.72,0.75,0.79,0.43,1,1,0.32,1,1,0.49,0.7,0.78,0.38,0.63,0.42,0.31,0.53,0.56,0.58,0.63,0.42,0.24,0.53,0.21,0.34,0.54,0.5,0.52,0.18,0.09,0.1,0.02,0.51,0.44,0.69,0.65,0.7,0.6,0.64,0.9,0.71,0.33,0.28,0.46,0.86,0.65,0.41,0.77,0.81,0.87,0.74,0.56,0.61,0.3,0.98,0.91,0.44,0.66,0.74,0.92,0.48,0.94,0.92,0.91,0.95,0.97,0.08,0.08,0.07,0.25,0.57,0.37,0.28,0.35,0.64,0.55,0.07,0.07,0.043,-0.039,0.039,0.027
24,1/31/2018,0.42,0.39,0.43,0.99,0.32,0.28,0.23,0.06,0.26,0.72,0.13,0.18,0.28,0.37,0.71,0.8,0.78,0.78,0.13,0.76,0.74,0.58,0.76,0.75,0.4,0.73,0.59,0.45,0.75,0.7,0.28,0.88,0.86,0.84,0.65,0.61,0.3,0.72,0.07,0.13,0.47,0.49,0.48,0.7,0.78,0.69,0.69,0.14,0.13,0.29,0.33,0.31,0.51,0.32,0.91,0.72,0.14,0.17,0.33,0.61,0.64,0.12,0.84,0.79,0.75,0.55,0.53,0.26,0.47,0.48,0.87,0.63,0.36,0.99,0.93,0.61,0.92,0.93,0.74,0.87,0.88,0.49,0.35,0.5,0.18,0.16,0.11,0.17,0.16,0.18,0.27,0.36,0.23,-0.038,-0.083,0.004,-0.08
27,1/31/2018,0.5,0.45,0.52,0.89,0.65,0.28,0.3,0.3,0.51,0.62,0.45,0.37,0.42,0.5,0.79,0.82,0.81,0.81,0.4,0.6,0.6,0.67,0.6,0.59,0.6,0.87,0.56,0.63,0.94,0.78,0.63,0.95,0.95,0.96,0.83,0.81,0.51,0.62,0.29,0.33,0.61,0.6,0.6,0.48,0.15,0.53,0.15,0.2,0.22,0.33,0.64,0.37,0.63,0.63,0.96,0.83,0.18,0.21,0.54,0.92,0.78,0.49,0.96,0.95,0.96,0.92,0.82,0.57,0.68,0.43,0.96,0.71,0.64,0.66,0.96,0.53,0.96,0.96,0.9,0.95,0.46,0.32,0.22,0.44,0.23,0.61,0.21,0.22,0.26,0.37,0.44,0.24,0.7,-0.055,-0.113,-0.077,-0.081
120,1/31/2018,0.14,0.17,0.15,0.85,0.07,0.28,0.41,0.1,0.35,0.75,0.16,0.17,0.54,0.69,0.97,0.96,0.91,0.98,0.9,0.55,0.54,0.88,0.55,0.54,0.11,0.14,0.26,0.36,0.55,0.97,0.31,0.71,0.63,0.63,0.67,0.51,0.85,0.75,0.34,0.13,0.15,0.14,0.13,0.31,0.53,0.31,0.52,0.38,0.2,0.56,0.23,0.59,0.27,0.22,0.52,0.44,0.18,0.21,0.23,0.41,0.89,0.15,0.63,0.52,0.49,0.62,0.4,0.18,0.91,0.59,0.15,0.23,0.25,0.63,0.56,0.46,0.49,0.56,0.41,0.32,0.88,0.33,0.47,0.41,0.2,0.29,0.14,0.17,0.16,0.17,0.33,0.51,0.37,-0.127,-0.07,0.035,0.027
153,1/31/2018,0.47,0.38,0.42,0.93,0.98,0.28,0.95,0.64,0.27,0.15,0.12,0.91,0.49,0.54,0.82,0.65,0.49,0.53,0.12,0.72,0.72,0.14,0.72,0.72,0.44,0.26,0.92,0.17,0.19,0.13,0.14,0.16,0.15,0.15,0.36,0.12,0.15,0.15,0.06,0.57,0.41,0.39,0.4,0.15,0.3,0.15,0.3,0.63,0.63,0.79,0.19,0.87,0.54,0.19,0.5,0.38,0.48,0.53,0.57,0.94,0.56,0.12,0.71,0.53,0.55,0.78,0.34,0.2,0.12,0.83,0.79,0.25,0.22,0.09,0.82,0.8,0.51,0.82,0.94,0.89,0.96,0.73,0.57,0.65,0.51,0.7,0.27,0.46,0.58,0.88,0.82,0.64,0.71,-0.12,-0.248,-0.197,-0.388
276,1/31/2018,0.34,0.36,0.34,0.46,0.57,0.28,0.4,0.79,0.02,0.44,0.64,0.28,0.19,0.09,0.25,0.42,0.45,0.35,0.47,0.3,0.29,0.94,0.3,0.3,0.3,0.93,0.39,0.33,0.46,0.45,0.65,0.64,0.72,0.65,0.71,0.71,0.32,0.44,0.72,0.22,0.34,0.33,0.35,0.32,0.08,0.32,0.1,0.15,0.19,0.35,0.65,0.33,0.31,0.64,0.75,0.74,0.17,0.13,0.26,0.48,0.47,0.65,0.72,0.78,0.72,0.74,0.78,0.48,0.94,0.23,0.73,0.84,0.64,0.74,0.39,0.16,0.69,0.39,0.47,0.49,0.17,0.56,0.65,0.6,0.15,0.42,0.46,0.19,0.2,0.28,0.16,0.71,0.66,-0.077,0.089,0.325,0.356
458,1/31/2018,0.53,0.57,0.53,0.74,0.92,0.28,0.56,0.36,0.78,0.72,0.36,0.88,0.71,0.86,0.81,0.67,0.7,0.74,0.43,0.7,0.69,0.55,0.74,0.69,0.57,0.65,0.71,0.62,0.93,0.63,0.56,0.73,0.78,0.83,0.1,0.71,0.65,0.72,0.57,0.59,0.57,0.56,0.57,0.49,0.58,0.58,0.86,0.69,0.61,0.67,0.49,0.66,0.59,0.48,0.75,0.68,0.45,0.38,0.54,0.92,0.58,0.41,0.68,0.74,0.79,0.1,0.69,0.6,0.26,0.73,0.93,0.74,0.55,0.65,0.85,0.57,0.76,0.85,0.87,0.91,0.76,0.57,0.67,0.55,0.37,0.71,0.53,0.42,0.54,0.86,0.73,0.46,0.2,-0.163,-0.086,-0.109,-0.154
469,1/31/2018,0.14,0.14,0.14,0.7,0.93,0.28,0.5,0.63,0.15,0.4,0.33,0.21,0.15,0.21,0.29,0.38,0.41,0.45,0.25,0.29,0.3,0.24,0.3,0.29,0.1,0.29,0.32,0.24,0.28,0.27,0.29,0.34,0.41,0.43,0.01,0.51,0.52,0.4,0.68,0.15,0.13,0.12,0.11,0.09,0.24,0.08,0.26,0.52,0.31,0.58,0.33,0.66,0.25,0.32,0.52,0.6,0.24,0.18,0.19,0.31,0.32,0.26,0.41,0.47,0.52,0.01,0.61,0.33,0.22,0.24,0.1,0.24,0.37,0.48,0.53,0.3,0.55,0.53,0.36,0.29,0.46,0.39,0.43,0.47,0.16,0.32,0.25,0.18,0.17,0.21,0.17,0.7,0.58,-0.03,0.038,0.06,0.268
532,1/31/2018,0.42,0.32,0.35,0.84,0.35,0.28,0.36,0.13,0.08,0.8,0.06,0.53,0.18,0.05,0.19,0.18,0.13,0.13,0.07,0.02,0.02,0.03,0.02,0.02,0.08,0.22,0.58,0.51,0.83,0.67,0.4,0.8,0.8,0.83,0.71,0.57,0.98,0.8,0.13,0.46,0.07,0.04,0.05,0.01,0.03,0.01,0.14,0.67,0.38,0.12,0.04,0.01,0.03,0.04,0.02,0.02,0.28,0.27,0.4,0.77,0.62,0.22,0.76,0.73,0.76,0.67,0.47,0.09,0.03,0.56,0.02,0.5,0.03,0.55,0.17,0.56,0.02,0.17,0.11,0.02,0.8,1,1,1,0.26,0.47,0.25,0.25,0.32,0.53,0.54,0.99,0.96,0.379,0.629,2.291,1.131
595,1/31/2018,0.39,0.45,0.41,0.69,0.74,0.28,0.08,0.1,0.96,0.28,0.67,0.21,0.95,0.63,0.78,0.82,0.84,0.85,0.66,0.55,0.54,0.53,0.55,0.55,0.32,0.29,0.17,0.58,0.9,0.87,0.81,0.94,0.96,0.97,0.02,1,0.77,0.28,0.69,0.15,0.39,0.42,0.41,0.84,0.86,0.83,0.88,0.16,0.15,0.33,0.81,0.33,0.58,0.8,0.96,1,0.16,0.15,0.45,0.83,0.92,0.69,0.93,0.95,0.96,0.03,1,0.88,0.58,0.36,0.77,0.1,0.89,0.78,0.97,0.31,0.96,0.97,0.81,0.91,0.25,0.56,0.68,0.59,0.17,0.15,0.23,0.18,0.17,0.21,0.19,0.36,0.36,-0.101,-0.236,-0.289,-0.215
660,1/31/2018,0.32,0.31,0.32,0.97,0.05,0.28,0.83,0.59,0.57,0.33,0.32,0.11,0.61,0.85,0.68,0.73,0.77,0.81,0.3,0.9,0.89,0.64,0.9,0.89,0.33,0.5,0.54,0.31,0.41,0.49,0.25,0.56,0.61,0.66,0.57,0.5,0.25,0.33,0.3,0.09,0.38,0.4,0.38,0.56,0.84,0.5,0.73,0.22,0.23,0.52,0.48,0.47,0.49,0.47,0.91,0.78,0.19,0.16,0.32,0.6,0.66,0.22,0.76,0.8,0.87,0.67,0.65,0.44,0.38,0.71,0.76,0.38,0.51,0.77,0.95,0.47,0.96,0.95,0.77,0.85,0.87,0.43,0.31,0.4,0.13,0.41,0.09,0.14,0.11,0.11,0.1,0.72,0.56,-0.052,-0.165,-0.156,-0.232
72,2/28/2018,0.86,0.84,0.86,0.9,0.84,0.01,0.17,0.09,0.62,0.51,0.18,0.5,0.69,0.44,0.02,0.01,0.68,0.65,0.14,0.38,0.37,0.21,0.39,0.38,0.83,0.28,0.5,0.93,0.02,0.79,0.4,0.02,0.85,0.83,0.14,0.68,0.84,0.51,0.28,0.84,0.88,0.88,0.88,0.9,0.73,0.96,0.88,0.19,0.11,0.92,0.35,0.73,0.94,0.34,0.82,0.65,0.01,0.84,0.92,0.02,0.79,0.22,0.02,0.79,0.73,0.16,0.61,0.3,0.27,0.28,0.5,0.1,0.36,0.14,1,0.96,0.79,1,0.5,0.5,0.56,0.41,0.35,0.39,0.87,0.03,0.23,0.54,0.85,1,0.99,0.41,0.83,-0.057,-0.053,0.066,0
78,2/28/2018,0.66,0.69,0.68,0.37,0.91,0.01,0.25,0.58,0.04,0.89,0.94,0.5,0.04,0.04,0.03,0.02,1,0.83,0.84,0.77,0.83,0.58,0.77,0.76,0.69,0.83,0.5,0.77,0.03,0.8,0.98,0.02,1,0.97,0.1,1,0.65,0.89,0.15,0.7,0.68,0.68,0.69,0.86,0.45,0.99,0.64,0.21,0.24,0.88,0.99,0.81,0.73,0.96,1,0.91,0.01,0.09,0.69,0.03,0.8,0.98,0.02,1,0.97,0.12,1,1,0.52,0.69,0.5,0.66,0.99,0.01,1,0.32,0.97,1,0.5,0.5,0.19,0.62,0.67,0.66,0.38,0.68,0.88,0.27,0.65,1,1,0.05,0.15,0.022,0.124,0.367,0
465,2/28/2018,0.61,0.68,0.64,0.71,0.32,0.01,0.35,0.46,0.04,0.73,0.48,0.5,0.05,0.17,0.04,0.78,0.77,0.79,0.57,0.46,0.47,0.95,0.46,0.45,0.44,0.74,0.5,0.54,0.05,0.73,0.72,0.9,0.9,0.93,0.26,1,0.51,0.73,0.73,0.66,0.36,0.45,0.42,1,0.89,0.94,0.55,0.91,0.67,0.22,0.58,0.22,0.44,0.57,0.82,0.9,0.18,0.19,0.4,0.04,0.68,0.56,0.87,0.85,0.88,0.25,1,0.74,0.96,0.41,0.5,0.59,0.58,1,0.94,0.34,0.82,0.94,0.5,0.5,0.4,0.96,0.97,0.95,0.19,0.4,0.83,0.18,0.61,1,1,0.99,1,-0.058,0.114,0.108,-0.701
486,2/28/2018,0.48,0.5,0.5,0.36,0.16,0.01,0.81,0.81,0.05,0.71,0.55,0.5,0.24,0.08,0.05,0.23,0.29,0.31,0.71,0.03,0.03,0.65,0.03,0.03,0.67,0.49,0.5,0.58,0.06,0.24,0.49,0.28,0.39,0.4,0.31,0.59,0.68,0.71,0.96,0.93,0.42,0.49,0.48,0.99,0.87,0.81,0.53,0.97,0.88,0.26,0.05,0.26,0.03,0.05,0.06,0.03,0.71,0.62,0.64,0.04,0.25,0.57,0.29,0.43,0.46,0.26,0.74,0.54,0.74,0.7,0.5,0.5,0.05,0.07,0.29,0.58,0.06,0.29,0.5,0.5,0.6,0.78,0.66,0.68,0.6,0.88,0.91,0.7,0.85,0.99,0.99,0.96,0.98,-0.064,0.334,-0.318,-0.346
552,2/28/2018,0.86,0.84,0.85,0.88,0.75,0.01,0.81,0.77,0.82,0.32,0.44,0.5,0.93,0.9,0.01,0.81,0.8,0.82,0.45,0.74,0.72,0.26,0.74,0.73,0.75,0.28,0.5,0.81,0.02,0.65,0.43,0.85,0.84,0.84,0.14,0.69,0.69,0.32,0.32,0.88,0.74,0.75,0.74,0.17,0.93,0.22,0.55,0.6,0.81,0.63,0.53,0.57,0.85,0.52,0.91,0.78,0.59,0.6,0.84,0.01,0.75,0.48,0.95,0.94,0.96,0.11,0.8,0.58,0.26,0.72,0.5,0.09,0.55,0.21,0.97,0.85,0.91,0.97,0.5,0.5,0.7,0.88,0.87,0.88,0.63,0.78,0.52,0.64,0.81,0.99,0.99,0.91,0.73,-0.225,-0.3,-0.443,-0.404
671,2/28/2018,0.8,0.72,0.73,0.57,0.47,0.01,0.78,0.93,0.71,0.05,0.14,0.5,0.16,0.08,0.02,0.34,0.38,0.42,0.48,0.11,0.11,0.93,0.1,0.11,0.73,0.33,0.5,0.01,1,0.01,0.02,0.03,0.01,0.01,0.91,0.97,0.01,0.05,0.84,0.88,0.48,0.41,0.43,0.04,0.17,0.05,0.19,0.91,0.91,0.91,0.25,0.98,0.63,0.09,0.35,1,0.79,0.74,0.06,0.06,0.03,0.04,0.05,0.04,0.04,0.86,0.91,0.41,0.5,0.04,0.5,0.5,0.14,0.02,0.49,0.8,0.36,0.49,0.5,0.5,0.21,0.99,0.99,0.99,0.72,0.92,0.75,0.76,0.88,0.98,0.98,0.92,0.99,0.071,0.585,0.571,0.028
683,2/28/2018,0.17,0.13,0.12,0.79,0.26,0.01,0.83,0.73,0.03,0.15,0.03,0.5,0.05,0.09,0.07,0.04,0.21,0.16,0.16,0.04,0.04,0.06,0.04,0.04,0.04,0.18,0.5,0.11,0.17,0.07,0.11,0.19,0.09,0.09,0.34,0.07,0.05,0.15,0.29,0.48,0.07,0.05,0.05,0.05,0.55,0.05,0.48,0.22,0.24,0.77,0.08,0.99,0.06,0.08,0.05,0.05,0.01,0.29,0.18,0.05,0.13,0.08,0.03,0.24,0.21,0.27,0.23,0.12,0.05,0.21,0.5,0.5,0.09,0.03,0.5,0.55,0.05,0.5,0.5,0.5,0.79,0.83,0.69,0.71,0.32,0.21,0.31,0.01,0.36,0.5,1,0.94,0.94,-0.04,0.076,0.661,0.22
690,2/28/2018,0.83,0.81,0.83,0.22,0.97,0.01,0.56,0.8,0.05,0.91,0.95,0.5,0.02,0.15,0.05,0.25,0.34,0.37,0.84,0.27,0.27,0.42,0.27,0.27,0.8,0.93,0.5,0.77,0.04,0.92,0.96,0.59,0.74,0.78,0.24,0.69,0.38,0.91,0.98,0.86,0.79,0.79,0.79,0.94,0.49,0.96,0.45,0.98,0.9,0.8,0.42,0.66,0.42,0.41,0.29,0.33,0.73,0.63,0.72,0.03,0.95,0.95,0.5,0.66,0.72,0.24,0.67,0.35,0.37,0.78,0.5,0.98,0.37,0.04,0.12,0.42,0.28,0.12,0.5,0.5,0.31,0.73,0.65,0.71,0.61,0.88,0.98,0.72,0.87,0.99,1,0.41,0.39,0.087,0.005,-0.013,0.147
697,2/28/2018,0.52,0.5,0.45,0.63,0.36,0.01,0.66,0.53,0.48,0.92,0.64,0.5,0.53,0.85,0.03,0.99,0.76,0.77,0.62,0.89,0.87,0.93,0.89,0.88,0.5,0.51,0.5,0.62,0.04,0.74,0.74,0.97,0.87,0.88,0.23,0.85,0.69,0.92,0.71,0.53,0.49,0.49,0.49,0.56,0.48,0.71,0.73,0.7,0.6,0.66,0.67,0.67,0.56,0.66,0.84,0.85,0.11,0.31,0.49,0.04,0.7,0.57,0.98,0.8,0.78,0.24,0.85,0.8,0.94,0.83,0.5,0.45,0.73,0.99,0.99,0.42,0.83,0.99,0.5,0.5,0.73,0.7,0.65,0.56,0.32,0.54,0.72,0.17,0.58,1,1,0.11,0.24,-0.064,-0.014,0.152,0
832,2/28/2018,0.81,0.79,0.79,0.62,0.96,0.01,0.21,0.22,0.99,0.12,0.22,0.5,0.6,0.6,0.04,0.83,0.84,0.85,0.64,0.72,0.71,0.26,0.72,0.71,0.85,0.84,0.5,0.54,0.12,0.29,0.24,0.48,0.46,0.4,0.31,0.36,0.15,0.12,0.26,0.9,0.86,0.85,0.85,0.75,0.44,0.87,0.48,0.86,0.89,0.9,0.82,0.73,0.87,0.81,0.98,0.86,0.5,0.49,0.49,0.05,0.2,0.13,0.46,0.4,0.29,0.26,0.32,0.82,0.84,0.1,0.5,0.48,0.82,0.03,0.92,0.73,0.94,0.92,0.5,0.5,0.38,0.42,0.34,0.36,0.53,0.87,0.83,0.56,0.88,1,1,0.18,0.56,0.046,0.004,0.077,0.164
900,2/28/2018,0.97,0.97,0.97,0.57,0.95,0.01,0.75,0.79,0.88,0.28,0.72,0.5,0.72,0.97,0.01,0.76,0.8,0.84,0.75,0.93,0.93,0.75,0.93,0.93,0.98,0.77,0.5,0.94,0.02,0.59,0.69,0.74,0.79,0.83,0.09,0.57,0.27,0.28,0.26,0.96,0.98,0.98,0.98,0.84,0.35,0.99,0.5,0.72,0.98,0.96,0.91,0.68,0.98,0.89,0.94,0.77,0.91,0.87,0.95,0.01,0.64,0.69,0.78,0.84,0.88,0.08,0.59,0.93,0.79,0.76,0.5,0.47,0.93,0.99,0.94,0.93,0.96,0.94,0.5,0.5,0.55,0.22,0.24,0.23,0.87,0.97,0.77,0.91,0.96,0.98,0.99,0.04,0.02,-0.009,0.014,0.041,0.184
1059,2/28/2018,0.92,0.92,0.92,0.8,0.91,0.01,1,0.67,0.07,1,0.48,0.5,0.06,0.07,0.02,0.83,0.77,0.81,0.52,1,1,0.52,1,1,0.77,0.31,0.5,0.83,0.02,0.75,0.54,0.91,0.8,0.84,0.09,0.56,0.63,1,0.15,0.73,0.79,0.8,0.79,0.37,0.95,0.36,0.92,0.61,0.82,0.7,0.68,0.59,0.88,0.67,0.89,0.69,0.58,0.67,0.83,0.02,0.78,0.5,0.94,0.83,0.9,0.09,0.57,0.7,0.48,1,0.5,0.06,0.73,0.1,0.99,0.83,0.93,0.99,0.5,0.5,0.99,0.91,0.9,0.91,0.66,0.65,0.52,0.56,0.79,0.99,0.99,0.64,0.28,-0.024,-0.023,0.154,0
17,2/28/2018,0.69,0.68,0.66,0.8,0.45,0.02,0.23,0.63,0.4,0.42,0.53,0.5,0.78,0.05,0.04,0.82,0.73,0.73,0.39,0.19,0.19,0.96,0.22,0.19,0.37,0.37,0.5,0.65,0.03,0.75,0.69,0.97,0.93,0.95,0.13,0.74,0.94,0.42,0.11,0.72,0.32,0.31,0.31,0.03,0.04,0.06,0.09,0.81,0.62,0.06,0.5,0.02,0.53,0.48,0.84,0.61,0.15,0.27,0.6,0.03,0.75,0.62,0.98,0.95,0.97,0.13,0.74,0.5,0.96,0.19,0.5,0.1,0.35,0.01,0.94,0.5,0.84,0.94,0.5,0.5,0.15,1,1,1,0.28,0.62,0.66,0.2,0.59,1,1,0.94,0.99,-0.011,0.203,0.43,0.619
84,2/28/2018,0.32,0.34,0.32,0.29,0.04,0.02,0.39,0.27,0.95,0.27,0.5,0.5,0.93,0.98,0.02,0.59,0.62,0.64,0.72,0.01,0.01,0.02,0.01,0.01,0.23,0.36,0.5,0.33,0.03,0.31,0.64,0.45,0.49,0.49,0.28,0.58,0.63,0.27,0.95,0.54,0.12,0.13,0.12,0.32,0.95,0.31,0.84,0.92,0.61,0.36,0.01,0.3,0.02,0.01,0.01,0.01,0.3,0.26,0.19,0.03,0.13,0.49,0.27,0.29,0.28,0.26,0.5,0.89,0.03,0.63,0.5,0.5,0.02,0.16,0.65,0.17,0.02,0.65,0.99,0.01,0.61,0.93,0.93,0.93,0.24,0.47,0.89,0.27,0.54,0.98,0.99,0.87,0.61,-0.129,-0.157,0.118,0.351
150,2/28/2018,0.63,0.64,0.62,0.79,0.13,0.02,0.76,0.65,0.6,0.56,0.41,0.5,0.6,0.79,0.03,0.74,0.74,0.79,0.5,0.84,0.83,0.68,0.85,0.83,0.41,0.59,0.5,0.38,0.04,0.54,0.4,0.69,0.67,0.72,0.2,0.5,0.39,0.56,0.29,0.49,0.39,0.37,0.38,0.16,0.18,0.13,0.16,0.79,0.58,0.74,0.57,0.84,0.49,0.56,0.85,0.66,0.21,0.21,0.35,0.03,0.63,0.38,0.77,0.75,0.83,0.19,0.53,0.62,0.67,0.71,0.5,0.5,0.65,0.98,0.93,0.4,0.88,0.93,0.5,0.5,0.78,0.96,0.98,0.95,0.17,0.62,0.65,0.16,0.5,1,1,0.39,0.47,-0.049,-0.096,0.02,-0.089
